geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon
36061000100,1,000100,1000100,1,Manhattan,The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,I,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),1843004.52241,10833.0439286,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-n3v9_fibw~s7xp,40.69327990429289,-74.04405620172456
36061001401,14.01,001401,1001401,1,Manhattan,Lower East Side,MN0302,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1006116.58954,5075.33199951,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-r3ub~566h_ntm6,40.71498294980019,-73.98669881409481
36061001402,14.02,001402,1001402,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1226206.24719,4459.1560187,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-7ax4_er4v-39ht,40.717463564590055,-73.98578202598604
36061001800,18,001800,1001800,1,Manhattan,Lower East Side,MN0302,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),2399276.86435,6391.92117449,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-rbey.gfbd-2auc,40.719172004733295,-73.99084351718433
36061002201,22.01,002201,1002201,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1740173.87581,5779.06260724,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-2v9z-5b5y_tyj9,40.71843294667108,-73.98102178826697
36061002602,26.02,002602,1002602,1,Manhattan,East Village,MN0303,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1114857.11794,4491.20321958,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-tyi4~hyq3-ptun,40.723829673227605,-73.9784319462433
36061002800,28,002800,1002800,1,Manhattan,East Village,MN0303,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1973678.51036,5627.55508949,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-enbr_7p7f~ndvr,40.72661162050707,-73.9762723932305
36061003400,34,003400,1003400,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1718451.57484,5503.30704443,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ipcb.unzy~x84y,40.729134900978934,-73.98160997908211
36061003601,36.01,003601,1003601,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1082296.16558,4201.29530909,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-eddj-bprh.hdn5,40.72253054033678,-73.9911176912672
36061003602,36.02,003602,1003602,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),961070.500061,4076.25032584,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-qahw~nbz2.mjgc,40.724202349518265,-73.99028768101647
36061004001,40.01,004001,1004001,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),995026.108423,4151.97661678,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-iahi.y9p7_n97f,40.73066259521985,-73.98448297477907
36061004002,40.02,004002,1004002,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),932610.986207,4046.98099391,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-j3cs-vw5n_5tki,40.73110496085993,-73.9871964422466
36061004100,41,004100,1004100,1,Manhattan,SoHo-Little Italy-Hudson Square,MN0201,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),2058611.73916,5913.87051174,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-fw58~mtq4-kpic,40.719445684030525,-73.99617437428047
36061004300,43,004300,1004300,1,Manhattan,SoHo-Little Italy-Hudson Square,MN0201,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1605585.00792,5090.41972568,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-4by5_znye-jny9,40.72326668230479,-73.99480871997436
36061005400,54,005400,1005400,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1809255.74584,5588.63726023,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-cebx.mvbv.tw8z,40.73900109246751,-73.99332912340637
36061005501,55.01,005501,1005501,1,Manhattan,Greenwich Village,MN0202,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1338496.69078,4650.76717844,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-3xci-7yte~966i,40.72748586150174,-73.99696510464963
36061005502,55.02,005502,1005502,1,Manhattan,Greenwich Village,MN0202,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1243017.22804,4547.01610161,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-z42n-xzkk-5epn,40.725913147830404,-73.9938258056684
36061005800,58,005800,1005800,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1879679.3185,5720.57424501,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-zgbh_3usc-ant4,40.74327933509062,-73.99021145849551
36061006700,67,006700,1006700,1,Manhattan,West Village,MN0203,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1812883.09437,5458.85945313,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-3f79~kng8~sryg,40.730628060555,-74.00370741458228
36061006800,68,006800,1006800,1,Manhattan,Gramercy,MN0602,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1877720.94746,5723.8908693,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-5wav_xj8i-rcyd,40.74010582841685,-73.98449073323978
36061007001,70.01,007001,1007001,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),967527.980166,4116.82319428,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-rq7s-md2m-gtvu,40.7424988018591,-73.97568172222503
36061007002,70.02,007002,1007002,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),941181.266394,4036.36952209,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ex8m-w69d_jmmb,40.7438665916482,-73.97792642248284
36061007200,72,007200,1007200,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1877428.79582,5722.94380674,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-uda6_udz8_uc7q,40.74497025665547,-73.98086459923623
36061007300,73,007300,1007300,1,Manhattan,West Village,MN0203,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1778587.97432,5754.13421011,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-whwh~2y2g_vhgw,40.73379527302653,-74.00379135393472
36061007600,76,007600,1007600,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1873518.14596,5717.63343742,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-dwt9.z59m-978b,40.74773248301153,-73.9873555224607
36061007700,77,007700,1007700,1,Manhattan,West Village,MN0203,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),1924995.85467,5765.37214246,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-ciae~2j3v_w9d9,40.73790336722394,-74.00369657369035
36061007800,78,007800,1007800,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1912109.89721,5546.86738568,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-vxe7-bgr2-2gq9,40.7465183952567,-73.97438641733544
36061008000,80,008000,1008000,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1855976.69853,5682.15354559,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-sydc_b2pp_6vzr,40.74960644849294,-73.97749099899677
36061008100,81,008100,1008100,1,Manhattan,Chelsea-Hudson Yards,MN0401,I,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),1875912.49868,5683.39375249,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-7u4v~szfu~e9hb,40.73983752204635,-73.99846273745216
36061008200,82,008200,1008200,1,Manhattan,Midtown-Times Square,MN0502,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1856719.42016,5681.26086793,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-amud~2wqi-xjzt,40.75092398143526,-73.98029546629112
36061008300,83,008300,1008300,1,Manhattan,Chelsea-Hudson Yards,MN0401,I,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),1873011.55559,5681.51426302,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-9xmw.jbce~65ei,40.74236816005952,-74.00494701244862
36061008400,84,008400,1008400,1,Manhattan,Midtown-Times Square,MN0502,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1862741.7982,5690.70188955,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-udhv-7j2d~vw7u,40.751962008344016,-73.98408912719516
36061008900,89,008900,1008900,1,Manhattan,Chelsea-Hudson Yards,MN0401,I,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),1782674.02883,5578.14058896,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-mzun-j3vh~p5q3,40.74456646044429,-74.0028935790046
36061009200,92,009200,1009200,1,Manhattan,East Midtown-Turtle Bay,MN0604,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),2118430.84368,6172.97892123,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-nihj~86ar-ngq5,40.753675555544895,-73.97509117528189
36061009300,93,009300,1009300,1,Manhattan,Chelsea-Hudson Yards,MN0401,I,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),1929422.59302,5740.25895778,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-8zpc-pmyh~qqur,40.74820622206924,-74.00140799408929
36061009400,94,009400,1009400,1,Manhattan,Midtown-Times Square,MN0502,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1646379.21085,5738.94007408,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-a45k_8zfx_n43m,40.75504504351561,-73.97772113295862
36061009500,95,009500,1009500,1,Manhattan,Midtown South-Flatiron-Union Square,MN0501,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1851171.26824,5658.97064554,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-nwj7.8ttw_dj7k,40.7471759069986,-73.99320944748935
36061009600,96,009600,1009600,1,Manhattan,Midtown-Times Square,MN0502,I,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),1887288.38572,5737.35624361,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-xyaq_9rnx-2ik3,40.75631532027099,-73.98050529560494
36061009902,99.02,009902,1009902,1,Manhattan,Chelsea-Hudson Yards,MN0401,I,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),2006894.91578,8383.89303696,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-j9bu-ndca.ng6u,40.75240674090362,-74.00771779756715
36061010000,100,010000,1010000,1,Manhattan,East Midtown-Turtle Bay,MN0604,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),1859881.00494,5684.21153375,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-tvxv.b5pa-pgm8,40.758109834316734,-73.97133314978493
