nta2020,ntaname,geoid,geometry,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank,pantry_count,TotalPop,Food Insecure Population
BK0101,Greenpoint,36047056301,POINT (998241.9574088433 205056.93764567457),1153881.91747087,15.74,741.51%,0.36,6.81171414263,44.0,1,25431.0,4002.8394000000003
BK0102,Williamsburg,36047051300,POINT (995721.0164833779 199741.71509407158),1011421.07761282,16.48,694.02%,0.38,6.32693035939,75.0,1,52985.0,8731.928
BK0103,South Williamsburg,36047050900,POINT (996267.1178804908 195489.48591761288),2090950.72621075,27.58,967.98%,0.6,8.03364938223,5.0,1,34945.0,9637.831
BK0104,East Williamsburg,36047048900,POINT (1001857.1708558884 199157.09185645176),1224484.03196005,21.34,739.65%,0.42,6.83298362622,43.0,1,40952.0,8739.1568
BK0201,Brooklyn Heights,36047000301,POINT (985683.5935392772 192653.28067751398),322651.410235809,10.05,407.41%,0.44,5.63712513481,139.0,0,23839.0,2395.8195
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,36047001502,POINT (988179.2608607967 192447.37492100612),-105866.86783078,15.69,563.38%,0.41,5.02644977771,166.0,3,22439.0,3520.6791
BK0203,Fort Greene,36047003101,POINT (991360.0350242293 191089.0500837166),321893.943856061,17.64,774.07%,0.4,6.03664581724,102.0,2,25783.0,4548.1212
BK0204,Clinton Hill,36047019700,POINT (994105.5696778017 190299.1269950858),35166.374775185,13.5,749.54%,0.38,5.77126226664,129.0,2,26614.0,3592.8900000000003
BK0301,Bedford-Stuyvesant (West),36047022700,POINT (997838.5445223177 190285.66162407116),871913.37333999,20.74,771.07%,0.43,5.97941221554,111.0,12,75408.0,15639.619199999997
BK0302,Bedford-Stuyvesant (East),36047027300,POINT (1003166.6230188978 189438.37336189393),-2502670.87833059,19.31,863.93%,0.42,1.8805616494,195.0,5,81756.0,15787.0836
BK0401,Bushwick (West),36047038900,POINT (1004970.648951309 194677.07482141015),790970.28988936,19.6,791.51%,0.39,6.4093061596,66.0,1,57671.0,11303.516
BK0402,Bushwick (East),36047039900,POINT (1008386.1211605666 191127.52674782518),-40369.7071064101,20.19,788.13%,0.43,5.23432371661,157.0,5,62243.0,12566.861700000001
BK0501,Cypress Hills,36047114202,POINT (1016960.9336160948 187964.25769053516),-1502252.40556435,17.01,675.33%,0.55,3.57070339261,184.0,2,39382.0,6698.878200000001
BK0502,East New York (North),36047113400,POINT (1014906.6449821487 184300.08653698475),-2063224.47525637,20.75,861.27%,0.53,2.90555823372,188.0,12,39351.0,8165.3324999999995
BK0503,East New York-New Lots,36047107800,POINT (1015311.461084292 179652.81243996113),-506273.12917545,20.46,1166.11%,0.51,5.11041174894,162.0,6,49992.0,10228.3632
BK0504,Spring Creek-Starrett City,36047105801,POINT (1018549.2828197737 176479.90410356276),170505.968828928,24.42,881.62%,0.55,6.07700627909,97.0,3,12819.0,3130.3998
BK0505,East New York-City Line,36047119000,POINT (1021394.9082210516 183600.6242398053),-2231394.17576234,18.01,633.56%,0.52,2.45259679455,191.0,1,33367.0,6009.3967
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,36047004500,POINT (984231.8386405363 186334.52274406838),488191.29092672,15.41,705.82%,0.44,5.7297058345,133.0,5,51973.0,8009.0393
BK0602,Park Slope,36047012902,POINT (989864.5981367814 184043.2572240331),738769.373497199,10.44,483.66%,0.42,6.02846731289,104.0,3,55521.0,5796.3924
BK0701,Windsor Terrace-South Slope,36047014902,POINT (989792.4714935749 178291.65503545152),702411.363228388,13.74,686.21%,0.45,6.34954317722,71.0,0,14073.0,1933.6301999999998
BK0702,Sunset Park (West),36047002000,POINT (981443.2124097298 177353.44419826558),808625.08857096,18.01,547.45%,0.57,6.28290676388,80.0,2,53729.0,9676.5929
BK0703,Sunset Park (Central),36047008800,POINT (982063.0922078507 173316.32404729282),1305476.96006984,21.66,756.17%,0.76,7.18786325265,27.0,2,36928.0,7998.604800000001
BK0801,Prospect Heights,36047016100,POINT (993244.6476554305 186147.6615153517),159697.329253079,11.62,458.26%,0.41,5.69270335401,135.0,1,20469.0,2378.4978
BK0802,Crown Heights (North),36047030700,POINT (1000367.4300522421 184788.69521603742),-23547.3246267601,18.85,864.64%,0.42,5.07894805152,163.0,6,66962.0,12622.337
BK0901,Crown Heights (South),36047031900,POINT (999227.9487795543 182194.6748304885),420912.89050075,18.86,918.07%,0.5,5.85873577913,125.0,8,42088.0,7937.796799999999
BK0902,Prospect Lefferts Gardens-Wingate,36047032900,POINT (998688.0156249201 179648.06471126233),-238489.9939784,16.04,689.97%,0.47,5.14947423964,160.0,3,46470.0,7453.788
BK1001,Bay Ridge,36047003000,POINT (975942.570895591 167590.95736964865),2207304.26225789,15.93,667.57%,0.52,7.69829540105,13.0,3,84473.0,13456.5489
BK1002,Dyker Heights,36047012000,POINT (981239.4224002244 166603.12331488152),1173132.89759046,17.61,708.69%,0.61,6.79900641012,46.0,0,45845.0,8073.3045
