from_pantry,to_pantry,lbs,distance_miles
4,374,222302.05194805196,1.0505405593174626
6,439,39004.997311227955,5.373672947351793
6,514,183297.054636824,4.666844934336468
12,11,111298.39258966141,0.36614224377163657
12,256,111003.65935839055,0.48376174757139584
16,410,18434.556744127534,1.913578007714139
16,426,16341.615220921987,9.879045947829443
16,498,13784.024404231168,2.3155993050187544
16,502,173741.85557877127,4.974974690523
19,18,2967.846349908039,0.4013292823866266
19,295,48760.908831527835,0.8940879143404368
19,337,57938.347617636085,1.7687895399389382
19,368,112634.94914898,0.38757102042119435
23,290,2967.846349908039,2.9136792649170697
23,295,219334.20559814392,3.5341085978019025
29,152,222302.05194805196,2.9093288364298915
30,220,222302.05194805196,3.341137421663674
31,152,222302.05194805196,2.7641510601215793
32,214,222302.05194805196,1.5098173771363337
36,220,162497.22323999862,2.285615886361178
36,407,59804.828708053334,1.04918533025661
37,60,6130.279212769383,2.49276154900933
37,80,59804.828708053334,3.0852227732802335
37,99,99500.51282840333,2.2715694852840533
37,513,56866.431198825914,4.62525944906673
38,2,52614.11131259375,0.8804406187311884
38,28,48095.27656576649,0.4419191924229853
38,74,121592.66406969172,2.2186605871815934
41,217,44270.66771853031,4.524246604922914
41,299,178031.38422952165,4.911167643030474
42,77,222302.05194805196,2.721869967715552
43,33,46934.15725072462,5.236951324302712
43,419,175367.89469732734,2.4600244717130186
44,3,222302.05194805196,1.9555407344575335
46,33,222302.05194805196,2.958830092429189
47,3,222302.05194805196,2.748294390958115
48,217,222302.05194805196,3.385295301340484
50,90,222302.05194805196,3.2222277452881687
51,328,84319.0669716149,2.0608256142673795
51,336,137982.98497643706,2.061211538825002
55,142,222302.05194805196,2.325649232474643
56,419,207597.16178972268,2.7438191156730216
56,437,14704.890158329275,1.9769081464143288
59,214,222302.05194805196,3.2416213986227844
61,219,126663.72066407406,1.665664899711335
61,434,95638.3312839779,1.2909399609931635
63,214,222302.05194805196,3.7007975741975723
64,34,149642.60416971945,1.4151727186142105
64,392,72659.4477783325,0.7007179479949507
65,73,99500.51282840333,0.26228066654977267
65,77,11471.644499330578,2.563226335150756
65,265,111329.89462031805,2.8977017011780104
66,81,56835.322942975996,0.5330140585373938
66,214,165466.72900507596,4.968823276457283
68,152,222302.05194805196,3.058537413516699
69,336,222302.05194805196,1.6106718518872716
70,219,222302.05194805196,1.8149530965133815
71,152,149642.60416971945,2.22843959014286
71,228,72659.4477783325,1.511499258883667
72,141,11845.60669767698,3.1596819593937115
72,147,52614.11131259375,1.3256924710542244
72,216,52614.11131259375,1.1678429694353685
72,306,52614.11131259375,0.7363021735110995
72,504,52614.11131259375,0.5994108732320108
76,33,222302.05194805196,3.3641115745387573
79,214,222302.05194805196,3.651953181506338
82,220,222302.05194805196,2.060152445003216
83,299,222302.05194805196,4.770367672140512
85,84,159697.329253079,2.020056798911973
85,141,31646.40501027665,2.967674205326442
85,461,30958.317684696318,3.219911281838054
86,513,222302.05194805196,2.880918445702435
87,131,127431.13500039728,4.369656009680325
87,149,22211.46916932217,1.9519900618955812
87,500,72659.4477783325,1.5510349955369485
88,3,18411.847260790004,1.8378357865720418
88,299,203890.20468726195,2.4776500987928975
89,53,72659.4477783325,1.4362612966283883
89,149,50447.97860901033,2.16690965284639
89,248,68351.95939857858,0.12912668336550534
89,261,30842.66616213057,1.8838826257771315
91,434,222302.05194805196,1.248410930112411
92,90,222302.05194805196,3.3519217572627773
93,142,212128.6971512236,5.074705779146421
93,154,10173.354796828353,4.1209682169516
94,220,222302.05194805196,3.661608591759566
96,143,99500.51282840333,0.5105873187702751
96,220,122801.53911964863,2.385352167895179
97,40,19537.605823605903,1.3539556362096
97,141,202764.44612444605,1.250367517112977
102,217,222302.05194805196,3.556360862722076
103,437,222302.05194805196,1.394302156496893
106,1,222302.05194805196,1.1363003969488712
107,165,6362.5347121491795,1.2068218344539432
107,472,215939.51723590278,1.0773180825867856
115,1,6112.902518610557,1.109389336331131
115,172,216189.1494294414,1.1971087589616676
117,268,222302.05194805196,0.6025256495523973
118,179,222302.05194805196,0.4412815829034918
120,477,222302.05194805196,0.1650568932695268
121,179,42059.67648956759,1.3514367767794953
121,477,180242.37545848437,1.5675818203122005
123,125,166579.92222104908,0.39074487942340397
123,284,55722.12972700287,0.3917198426166956
126,0,222302.05194805196,0.9452542898269162
135,75,222302.05194805196,0.7831210654111681
136,74,124663.79376270795,1.9291105282032954
136,482,97638.258185344,2.273130630716215
137,33,217739.55242793774,5.59916002070851
137,90,4562.499520114216,3.4028574594061833
144,152,222302.05194805196,2.7851056289656744
145,140,72659.4477783325,0.35779499026303985
145,152,76983.15639138695,1.1995265314946373
145,263,72659.4477783325,0.4006270416095102
146,217,91055.01198842374,3.3249625981744324
146,413,131247.03995962822,3.043198104020243
148,95,99500.51282840333,0.729670672641557
148,513,122801.53911964863,3.073846969433574
151,40,27025.535577363946,0.28938462529471853
151,101,97638.258185344,1.750995823052285
151,415,97638.258185344,1.327355503602684
153,299,222302.05194805196,3.13607325683931
155,158,52614.11131259375,1.4540730557151764
155,218,5369.741949466508,0.5501046314472047
155,238,97638.258185344,3.0204738418743364
155,461,66679.94050064769,3.0204738418743364
156,152,222302.05194805196,3.2653291609327635
159,265,222302.05194805196,4.307038857084102
161,204,222302.05194805196,0.6874252062275181
163,1,222302.05194805196,0.7750401126045298
167,322,111444.25945400575,1.1742488525482682
167,389,110857.79249404621,1.1299205782526327
175,207,222302.05194805196,0.25867196169898726
176,172,222302.05194805196,1.0064321538918612
177,119,79678.87153524178,0.5972566774753091
177,166,87380.49590522428,0.7765359917603745
177,322,55135.66276704334,1.8071417687792555
177,477,107.0217405425501,1.6353813717459502
178,164,80312.17708353,0.7720019638628335
178,204,61677.69778099196,0.8136517577819157
178,467,80312.17708353,0.5900456051477906
182,170,222302.05194805196,0.509793324369893
184,179,222302.05194805196,0.896014262419619
187,472,222302.05194805196,0.722232325774897
188,172,34342.73689654973,0.5588364688259501
188,268,187959.31505150223,0.7601416042263075
190,20,222302.05194805196,4.972454467897415
194,253,222302.05194805196,1.3405171868879702
195,234,222302.05194805196,1.3683311965958016
196,234,63428.80598303606,0.992616508021317
196,253,158873.2459650159,1.2126299048273894
197,374,222302.05194805196,1.0027524816957256
198,33,222302.05194805196,1.4145046487218742
202,192,222302.05194805196,3.384337727165748
203,192,49154.94731215207,3.826295350256763
203,502,173147.1046358999,4.220948967931561
205,26,11662.075623147073,2.6329700251529156
205,499,210639.97632490488,4.725529068481458
206,21,8162.441021919425,3.878790937894437
206,490,214139.61092613253,4.442961481204595
209,27,222302.05194805196,2.250296881516047
210,374,57938.347617636085,1.6939232045956996
210,499,164363.70433041587,0.7785106901140377
211,33,222302.05194805196,1.855589600148673
212,3,222302.05194805196,1.9309562450843414
215,3,2387.3560336742084,3.2292274472838187
215,214,219914.69591437775,2.9142617269375393
229,154,222302.05194805196,1.3344366922799376
230,133,166579.92222104908,0.9637697310436165
230,389,55722.12972700287,0.964640158509509
231,111,87380.49590522428,0.8719812422806636
231,119,7701.624369982499,0.2722627277109245
231,160,87380.49590522428,0.6535468639180939
231,180,39839.43576762089,0.9215833510292274
232,222,222302.05194805196,0.7384970344556535
235,253,222302.05194805196,1.3601215107885167
236,382,53205.910479859915,1.341068392699374
236,511,169096.14146819204,2.1372525171867895
237,34,11304.36775831107,2.1313628516690484
237,40,138338.23641140838,2.187673476221536
237,408,72659.4477783325,0.7119192515754291
239,157,31728.91425971444,0.299132443135385
239,265,96804.48151849807,4.8674334109864965
239,513,93768.65616983947,4.6379491717985095
240,152,222302.05194805196,2.868672617205669
241,54,72659.4477783325,1.9604791540361155
241,131,20602.364162602724,4.597631565974662
241,152,129040.24000711672,3.1251219236143997
242,28,4518.834746827255,1.0408186641965438
242,77,170538.84783809746,3.909752404567158
242,218,47244.36936312724,0.5092584299745513
243,396,174988.537078983,0.4854641156678188
243,447,47313.51486906895,0.12269019010653942
244,172,222302.05194805196,0.9412431620605045
245,207,155467.08012001417,0.6656520703363107
245,268,66834.97182803779,0.7033655308103784
249,513,222302.05194805196,2.981733636165208
257,142,222302.05194805196,2.582585637541701
258,90,222302.05194805196,3.2222277452881687
259,328,222302.05194805196,1.9256846025881285
260,40,61355.08002002144,0.3448303396484855
260,449,160946.9719280305,0.4876928801682305
262,11,222302.05194805196,0.39950470765202245
264,154,222302.05194805196,1.846138181821726
266,90,119501.63452508982,1.2951030812690831
266,154,102800.41742296214,2.018245989512585
269,179,78901.74506900509,0.8560187118643812
269,181,16076.350608325,0.3526683144433314
269,472,127323.95627072186,0.7583608546749439
273,247,113692.66774298681,1.1092375970863655
273,448,108609.38420506514,1.1965620162547166
278,14,36656.328613092,0.3974425329060279
278,250,148989.39472186792,0.3988753728853844
278,400,36656.328613092,0.3974425487780294
291,295,39004.997311227955,5.455935496679031
291,355,183297.054636824,5.036977293084732
292,224,120934.21836527472,3.4699313729783183
292,439,101367.83358277724,5.765938294829758
293,352,137784.0251362875,0.8287126522097289
293,371,84518.02681176446,1.2597681429513463
294,247,54304.69210253257,0.5771354208777854
294,501,167997.3598455194,0.3617829860615908
296,511,222302.05194805196,2.2467492419376724
297,49,222302.05194805196,1.9920938755981328
298,49,8920.067699342791,2.2030488326296136
298,62,97491.75326037704,2.679855382680759
298,382,115890.23098833213,1.5431585978734474
300,112,87380.49590522428,0.8063101825455212
300,180,47541.06013760339,1.1689866222806902
300,271,87380.49590522428,0.7610902163706386
302,448,59387.97564045424,1.3095222549079504
302,477,162914.07630759772,1.193049875850938
305,3,222302.05194805196,1.7244827275736685
307,214,222302.05194805196,3.5271871915069157
314,9,166579.92222104908,0.36168563224030553
314,284,55722.12972700287,0.4960229942011049
317,283,222302.05194805196,0.34184505601162535
