FID,type_fp,type_sk,program,org_phone,distadd,distboro,distzip,dist_location_info,fp_days_orig,fp_hours_orig,sk_days_orig,sk_hours_orig,fp_mon,fp_mon_open1,fp_mon_close1,fp_mon_open2,fp_mon_close2,fp_tue,fp_tue_open1,fp_tue_close1,fp_tue_open2,fp_tue_close2,fp_wed,fp_wed_open1,fp_wed_close1,fp_wed_open2,fp_wed_close2,fp_thu,fp_thu_open1,fp_thu_close1,fp_thu_open2,fp_thu_close2,fp_fri,fp_fri_open1,fp_fri_close1,fp_fri_open2,fp_fri_close2,fp_sat,fp_sat_open1,fp_sat_close1,fp_sat_open2,fp_sat_close2,fp_sun,fp_sun_open1,fp_sun_close1,fp_sun_open2,fp_sun_close2,sk_mon,sk_mon_open1,sk_mon_close1,sk_mon_open2,sk_mon_close2,sk_tue,sk_tue_open1,sk_tue_close1,sk_tue_open2,sk_tue_close2,sk_wed,sk_wed_open1,sk_wed_close1,sk_wed_open2,sk_wed_close2,sk_thu,sk_thu_open1,sk_thu_close1,sk_thu_open2,sk_thu_close2,sk_fri,sk_fri_open1,sk_fri_close1,sk_fri_open2,sk_fri_close2,sk_sat,sk_sat_open1,sk_sat_close1,sk_sat_open2,sk_sat_close2,sk_sun,sk_sun_open1,sk_sun_close1,sk_sun_open2,sk_sun_close2,fp_notes,sk_notes,CreationDate,Creator,EditDate,Editor,GlobalID,lat,lon,address_score,subregion,status,program_type,fp_mon_open3,fp_mon_close3,fp_tue_open3,fp_tue_close3,fp_wed_open3,fp_wed_close3,fp_thu_open3,fp_thu_close3,fp_fri_open3,fp_fri_close3,fp_sat_open3,fp_sat_close3,fp_sun_open3,fp_sun_close3,sk_mon_open3,sk_mon_close3,sk_tue_open3,sk_tue_close3,sk_wed_open3,sk_wed_close3,sk_thu_open3,sk_thu_close3,sk_fri_open3,sk_fri_close3,sk_sat_open3,sk_sat_close3,sk_sun_open3,sk_sun_close3,geometry,geoid,nta2020,id
1,FP,,CHURCH OF ST. NICHOLAS OF TOLENTINE,(718) 295-6800,"2345 University Ave, Bronx, New York, 10468",BX,10468, BASEMENT FORDHAM RD ENTRANCE,TUE,9-11AM,,,closed,,,,,open,09:00 AM,11:00 AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1732784422515,maps.nyc.data,200d88be-6abe-44ff-a13a-769d8c9ef9a1,40.862216353818,-73.905672642358,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.905672642358 40.862216353818),36005025500,BX0701,0
2,FP,,BREAD OF LIFE FOOD PANTRY,(347) 235-3723,"1104 Elder Ave, Bronx, New York, 10472",BX,10472,#15,SAT,1:30 - 4:30PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,01:30 PM,04:30 PM,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,4979e8c4-94af-485b-b826-e0134d818c94,40.8264247052495,-73.878539164494,100.0,Bronx County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.8785391641132 40.8264247055377),36005005002,BX0901,1
4,FP,,CHANCE FOR CHILDREN,(347) 616-3228,"11 Mc Keever Pl, Brooklyn, New York, 11225",BK,11225,1ST FLOOR (BASEMENT LEVEL),FRI,10AM-12:30PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,12:30 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,4548975a-8b70-4698-a35b-3eddb61704d7,40.6656935814143,-73.9584754472405,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9584754469383 40.6656935813309),36047032500,BK0901,2
6,FP,,HEALTH ESSENTIAL ASSOCIATION INC (BK),(646) 515-6898,"2101 E 16th St, Brooklyn, New York, 11229",BK,11229,2ND FLOOR,FRI (4TH),10AM-12PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,10:00 AM,12:00 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4th Friday,,1680892750097,rwrenner_nyc,1689798810685,maps.nyc.data,e92cfeb9-cecb-4c99-aea5-2ae81d8dd267,40.598606630507,-73.955282193588,100.0,Kings County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.955282193588 40.598606630507),36047058000,BK1502,3
10,FPHA,,AIDS CENTER OF QUEENS COUNTY (WOODSIDE),(718) 472-9400,"62-07 Woodside Ave, Woodside, New York, 11377",QN,11377,3RD FLOOR,"TUE, THUR",9-11AM,,,closed,,,,,open,08:00 AM,10:00 AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1743148821665,maps.nyc.data,eee81264-446f-4836-8ba4-1fd8e4b71782,40.744659030225,-73.902187195561,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.902187195561 40.744659030225),36081026100,QN0203,4
11,FPHA,,AIDS CENTER OF QUEENS COUNTY (ACQC),(718) 868-8645,"16-00 Central Ave, Far Rockaway, NY, 11691, USA",QN,11691,3RD FLOOR (FAR ROCKAWAY),FRI,9:30-10:30AM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,09:30 AM,10:30 AM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1719475235062,maps.nyc.data,01b60024-4e7a-45d9-af18-279087a2127c,40.60515532763915,-73.75217845372491,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.7521784537249 40.6051553276391),36081103202,QN1401,5
17,FPHA,,AIDS CENTER OF QUEENS COUNTY (JAMAICA),(718) 896-2500,"161-21 Jamaica Ave, Jamaica, New York, 11432",QN,11432,6TH FLOOR,"TUE,THUR",8:30-11AM,,,closed,,,,,closed,,,,,closed,,,,,open,08:30 AM,09:30 AM,,,closed,,,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1701507622955,maps.nyc.data,575f361b-edae-499d-9ecd-4436a73beffc,40.704402048469,-73.79790575886,100.0,Queens County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.79790575886 40.704402048469),36081044601,QN1201,6
18,FP,,RIVERSIDE CHURCH FOOD PANTRY (FP),(212) 870-6733,"91 Claremont Ave, New York, New York, 10027",NY,10027,AT 120TH STREET,"TUE,WED,FRI",9AM-1PM,,,closed,,,,,open,09:00 AM,01:00 PM,,,open,09:00 AM,01:00 PM,,,open,09:00 AM,01:00 PM,,,open,09:00 AM,01:00 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1705136414075,maps.nyc.data,230e6aa2-ff2d-49de-af8d-5ad7934c5a76,40.811964203982,-73.962512926181,100.0,New York County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.962512926181 40.811964203982),36061020500,MN0901,7
19,FP,SK,BETH HARK CHRISTIAN COUNSELING CENTER,(212) 860-1523,"1832 Madison Ave, New York, New York, 10035",NY,10035,AT 120TH STREET,,,,,closed,,,,,open,12:00 PM,02:00 PM,,,closed,,,,,open,11:00 AM,01:00 PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,12:00 PM,02:00 PM,,,open,12:00 PM,02:00 PM,,,closed,,,,,closed,,,,,closed,,,,,,,1680892750097,rwrenner_nyc,1732093220663,maps.nyc.data,20a47689-de61-426a-80fe-4d8380b62bfe,40.802320111917,-73.943367988776,100.0,New York County,Open,"FP,SK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.943367988776 40.802320111917),36061019800,MN1102,8
20,FP,,HARLEM DOWLING WEST SIDE CENTER/SPECIALIZED SERVICES,(212) 749-3656,"2139 Adam Clayton Powell Jr Blvd, New York, New York, 10027",NY,10027,AT 127TH STREET,FRI,12-2PM,,,closed,,,,,closed,,,,,closed,,,,,closed,,,,,open,12:00 PM,02:00 PM,,,closed,,,,,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680892750097,rwrenner_nyc,1680892750097,rwrenner_nyc,4a317184-8202-418d-91b7-98f068c3395b,40.810031630476,-73.9472302859403,100.0,New York County,Open,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.9472302859061 40.8100316307884),36061022400,MN1002,9
