pantry_id,original_demand,received_step1,unmet_before_step2,supplied_step2,remaining_unmet,distance_miles,transport_cost,purchase_cost,total_cost,population
214,1804791.86975866,0.0,1804791.86975866,1804791.86975866,0.0,15.134479122608875,2731458.4873516676,5017321.397929074,7748779.885280742,3321.0
299,1577147.81567521,0.0,1577147.81567521,1577147.81567521,0.0,15.829341019345112,2496521.0612238147,4384470.927577083,6880991.988800899,4049.0
485,1379134.20466646,0.0,1379134.20466646,1379134.20466646,0.0,3.348239320458145,461767.13722530124,3833993.0889727585,4295760.2261980595,3676.0
154,1224484.03196005,0.0,1224484.03196005,1224484.03196005,0.0,8.066287516329712,987704.0260944426,3404065.608848939,4391769.634943382,4289.0
33,1153881.91747087,0.0,1153881.91747087,1153881.91747087,0.0,6.975515304911545,804892.0975378734,3207791.7305690185,4012683.828106892,3125.0
221,1090394.88704868,0.0,1090394.88704868,1090394.88704868,0.0,3.0323554006149958,330646.48245450435,3031297.7859953307,3361944.2684498345,3502.0
513,1088923.23144796,0.0,1088923.23144796,1088923.23144796,0.0,14.122033225777775,1537781.0054829395,3027206.5834253286,4564987.588908268,3398.0
3,910007.411086672,0.0,910007.411086672,910007.411086672,0.0,15.314292007139612,1393611.9222042433,2529820.6028209478,3923432.5250251917,3999.0
439,850450.3408407333,0.0,850450.3408407333,850450.3408407333,0.0,4.481106735413587,381095.8750476191,2364251.9475372382,2745347.8225848577,4435.0
35,802231.83555111,0.0,802231.83555111,802231.83555111,0.0,15.811753414811042,1268469.1965245395,2230204.5028320854,3498673.699356625,4048.0
217,802231.83555111,0.0,802231.83555111,802231.83555111,0.0,15.21598939829181,1220675.110471787,2230204.5028320854,3450879.6133038728,2835.0
90,790970.28988936,0.0,790970.28988936,790970.28988936,0.0,8.152677633833243,644852.5791407581,2198897.4058924206,2843749.9850331787,2906.0
463,739392.566019714,0.0,739392.566019714,739392.566019714,0.0,20.626576945082604,1525113.76556277,2055511.3335348049,3580625.0990975746,3651.0
49,735768.0874192966,0.0,735768.0874192966,735768.0874192966,0.0,15.652424616131006,1151655.452328543,2045435.2830256445,3197090.7353541874,2436.0
62,735768.0874192966,0.0,735768.0874192966,735768.0874192966,0.0,15.925158862588718,1171722.3678175362,2045435.2830256445,3217157.6508431807,2560.0
57,735768.0874192966,0.0,735768.0874192966,735768.0874192966,0.0,14.62056928368502,1075734.8298838243,2045435.2830256445,3121170.112909469,3797.0
469,707055.00738691,0.0,707055.00738691,707055.00738691,0.0,5.9092566340342945,417816.94930282654,1965612.9205356098,2383429.869838436,4276.0
172,695135.990222095,0.0,695135.990222095,695135.990222095,0.0,1.299959272114045,90364.84758693905,1932478.052817424,2022842.9004043632,2468.0
283,574746.89821195,0.0,574746.89821195,574746.89821195,0.0,3.7947667857445064,218103.04395443865,1597796.3770292208,1815899.4209836596,4127.0
413,571267.824560178,0.0,571267.824560178,571267.824560178,0.0,14.862576949704525,849051.2001415951,1588124.5522772947,2437175.7524188897,3368.0
304,571267.824560178,0.0,571267.824560178,571267.824560178,0.0,15.750953462243151,899801.2919124248,1588124.5522772947,2487925.8441897198,4017.0
105,571267.824560178,0.0,571267.824560178,571267.824560178,0.0,15.11789337815987,863636.6062074109,1588124.5522772947,2451761.1584847053,3600.0
