pantry_id,original_demand,received_step1,unmet_before_step2,supplied_step2,remaining_unmet,distance_miles,transport_cost,purchase_cost,total_cost,food insecure population
214,1804791.86975866,0.0,1804791.86975866,1804791.86975866,0.0,15.134479122608875,2731458.4873516676,992635.528367263,3724094.01571893,8776.6242
416,1444845.00693503,0.0,1444845.00693503,1444845.00693503,0.0,4.568424185803583,660066.4874419536,794664.7538142665,1454731.2412562203,7946.5563
485,1379134.20466646,0.0,1379134.20466646,1379134.20466646,0.0,3.348239320458145,461767.13722530124,758523.812566553,1220290.9497918542,8017.283399999999
503,1208992.72111143,0.0,1208992.72111143,1208992.72111143,0.0,6.634057402616094,802052.7111198257,664945.9966112867,1466998.7077311124,5468.2056
33,1153881.91747087,0.0,1153881.91747087,1153881.91747087,0.0,6.975515304911545,804892.0975378734,634635.0546089786,1439527.152146852,4002.8394
221,1090394.88704868,0.0,1090394.88704868,1090394.88704868,0.0,3.0323554006149958,330646.48245450435,599717.1878767741,930363.6703312786,6493.480500000001
513,1088923.23144796,0.0,1088923.23144796,1088923.23144796,0.0,14.122033225777775,1537781.0054829395,598907.777296378,2136688.782779318,19207.4058
217,802231.83555111,0.0,802231.83555111,802231.83555111,0.0,15.21598939829181,1220675.110471787,441227.5095531105,1661902.6200248976,10807.158
24,791493.064110775,0.0,791493.064110775,791493.064110775,0.0,4.732842357601154,374601.1899571002,435321.1852609263,809922.3752180266,6716.496300000001
90,790970.28988936,0.0,790970.28988936,790970.28988936,0.0,8.152677633833243,644852.5791407581,435033.65943914803,1079886.238579906,11303.516
62,735768.0874192966,0.0,735768.0874192966,735768.0874192966,0.0,15.925158862588718,1171722.3678175362,404672.44808061316,1576394.8158981495,13456.5489
49,735768.0874192966,0.0,735768.0874192966,735768.0874192966,0.0,15.652424616131006,1151655.452328543,404672.44808061316,1556327.9004091562,13456.5489
469,707055.00738691,0.0,707055.00738691,707055.00738691,0.0,5.9092566340342945,417816.94930282654,388880.25406280055,806697.2033656271,7785.687
1,695135.990222095,0.0,695135.990222095,695135.990222095,0.0,0.9449085929544269,65683.99704327421,382324.7946221523,448008.7916654265,17525.5193
172,695135.990222095,0.0,695135.990222095,695135.990222095,0.0,1.299959272114045,90364.84758693905,382324.7946221523,472689.6422090914,17525.5193
169,695135.990222095,0.0,695135.990222095,695135.990222095,0.0,1.5940548002753845,110808.48620577135,382324.7946221523,493133.2808279236,17525.5193
270,685490.71897698,0.0,685490.71897698,685490.71897698,0.0,3.674234673413098,251865.37679680937,377019.89543733903,628885.2722341483,13805.0888
171,655908.6638622034,0.0,655908.6638622034,655908.6638622034,0.0,3.1875218037625657,209072.3167337545,360749.7651242119,569822.0818579664,14898.766
474,655908.6638622034,0.0,655908.6638622034,655908.6638622034,0.0,3.259940662404993,213822.33241481252,360749.7651242119,574572.0975390244,14898.766
283,574746.89821195,0.0,574746.89821195,574746.89821195,0.0,3.7947667857445064,218103.04395443865,316110.79401657253,534213.8379710112,14844.3932
319,574746.89821195,0.0,574746.89821195,574746.89821195,0.0,3.8003652360592484,218424.81314975783,316110.79401657253,534535.6071663303,14844.3932
105,571267.824560178,0.0,571267.824560178,571267.824560178,0.0,15.11789337815987,863636.6062074109,314197.3035080979,1177833.9097155088,18813.696
219,571267.824560178,0.0,571267.824560178,571267.824560178,0.0,14.324166798560071,818293.5605650542,314197.3035080979,1132490.864073152,18813.696
418,571267.824560178,0.0,571267.824560178,571267.824560178,0.0,15.561078326076414,888954.3363148209,314197.3035080979,1203151.6398229187,18813.696
413,571267.824560178,0.0,571267.824560178,571267.824560178,0.0,14.862576949704525,849051.2001415951,314197.3035080979,1163248.503649693,18813.696
477,565565.5254546766,0.0,565565.5254546766,565565.5254546766,0.0,2.7648808826715348,156372.13092277167,311061.03900007217,467433.1699228438,13747.4886
472,565565.5254546766,0.0,565565.5254546766,565565.5254546766,0.0,2.35901806278051,133417.92902335324,311061.03900007217,444478.9680234254,13747.4886
179,565565.5254546766,0.0,565565.5254546766,565565.5254546766,0.0,2.4990511092850105,141337.71537608694,311061.03900007217,452398.7543761591,13747.4886
287,533062.36927377,0.0,533062.36927377,533062.36927377,0.0,4.199155628695073,223841.1848381483,293184.30310057354,517025.4879387218,6725.049599999999
337,502542.45151374,0.0,502542.45151374,502542.45151374,0.0,4.053399814939251,203700.54799649114,276398.348332557,480098.89632904815,6591.410000000001
374,502542.45151374,0.0,502542.45151374,502542.45151374,0.0,4.27224495346216,214698.4452380078,276398.348332557,491096.7935705648,6591.410000000001
207,477096.338827592,0.0,477096.338827592,477096.338827592,0.0,1.9538509279489717,93217.51243393477,262402.9863551756,355620.4987891104,6802.1192
268,477096.338827592,0.0,477096.338827592,477096.338827592,0.0,1.9273062357949895,91951.07488973772,262402.9863551756,354354.0612449133,6802.1192
434,451455.520860002,0.0,451455.520860002,451455.520860002,0.0,14.534253948813372,656156.9186773082,248300.53647300112,904457.4551503094,6595.4952
366,442076.275743512,0.0,442076.275743512,442076.275743512,0.0,5.20378823942311,230047.13246420558,243141.9516589316,473189.0841231372,4941.9728
20,405599.10658487596,0.0,405599.10658487596,405599.10658487596,0.0,4.945381203706709,200584.21979450795,223079.5086216818,423663.7284161898,12417.444
355,405599.10658487596,0.0,405599.10658487596,405599.10658487596,0.0,4.451595839335027,180556.3295311238,223079.5086216818,403635.83815280563,12417.444
464,404312.54428548,0.0,404312.54428548,404312.54428548,0.0,13.567901133697903,548567.2627979248,222371.89935701402,770939.1621549388,9676.5929
336,382965.05648705,0.0,382965.05648705,382965.05648705,0.0,7.774976133107123,297754.4174000835,210630.78106787754,508385.19846796105,10681.5783
224,343236.2703133267,0.0,343236.2703133267,343236.2703133267,0.0,6.06141964615577,208049.9072150431,188779.9486723297,396829.85588737275,11348.3256
25,343236.2703133267,0.0,343236.2703133267,343236.2703133267,0.0,7.2692398910103915,249506.67882032602,188779.9486723297,438286.62749265577,11348.3256
13,320703.568211885,0.0,320703.568211885,320703.568211885,0.0,3.5355909151582883,113387.66222287872,176386.96251653676,289774.6247394155,11389.0371
458,320172.34383741004,0.0,320172.34383741004,320172.34383741004,0.0,16.889218962860394,540746.0820922244,176094.78911057554,716840.8712028,6536.0223000000005
254,307548.737685778,0.0,307548.737685778,307548.737685778,0.0,8.323163872836233,255977.85426426548,169151.8057271779,425129.6599914434,12884.2604
122,276418.98993234866,0.0,276418.98993234866,276418.98993234866,0.0,3.8902797466692562,107534.71981285891,152030.44446279178,259565.1642756507,6289.164
199,276418.98993234866,0.0,276418.98993234866,276418.98993234866,0.0,3.8177990186073067,105531.21484881437,152030.44446279178,257561.65931160614,6289.164
189,270909.6496435925,0.0,270909.6496435925,270909.6496435925,0.0,1.9209143548349739,52039.42348636902,149000.3073039759,201039.7307903449,6486.8664
411,270909.6496435925,0.0,270909.6496435925,270909.6496435925,0.0,1.8191610858761202,49282.8292419957,149000.3073039759,198283.13654597156,6486.8664
113,270909.6496435925,0.0,270909.6496435925,270909.6496435925,0.0,1.7630065632412788,47761.54903670489,149000.3073039759,196761.85634068077,6486.8664
480,270909.6496435925,0.0,270909.6496435925,270909.6496435925,0.0,1.9822510493186944,53701.09372765711,149000.3073039759,202701.401031633,6486.8664
0,269462.36483573,0.0,269462.36483573,269462.36483573,0.0,3.6667055833327606,98803.91576412207,148204.30065965152,247008.21642377359,12045.052499999998
443,269462.36483573,0.0,269462.36483573,269462.36483573,0.0,3.6821639848345686,99220.4615066478,148204.30065965152,247424.7621662993,12045.052499999998
505,276418.98993234866,15921.0959309077,260497.89400144096,260497.89400144096,0.0,3.979505380277386,103665.27707296626,143273.84170079255,246939.1187737588,6289.164
40,246256.45783239967,0.0,246256.45783239967,246256.45783239967,0.0,10.354434714596785,254984.64156734385,135441.05180781984,390425.69337516365,5796.3924
141,246256.45783239967,0.0,246256.45783239967,246256.45783239967,0.0,10.491388965203418,258357.22843129188,135441.05180781984,393798.28023911174,5796.3924
74,246256.45783239967,0.0,246256.45783239967,246256.45783239967,0.0,11.324498969161365,278873.10028723394,135441.05180781984,414314.15209505375,5796.3924
11,333600.44453771337,0.0,333600.44453771337,246230.6721003077,87369.77243740566,6.02375076390597,148323.2199161309,135426.86965516926,283750.0895713002,3956.6618
478,230609.9498347875,0.0,230609.9498347875,230609.9498347875,0.0,2.705202189751163,62384.654127147296,126835.47240913313,189220.12653628044,13097.375999999998
110,230609.9498347875,0.0,230609.9498347875,230609.9498347875,0.0,2.9529904602974626,68098.89819118039,126835.47240913313,194934.3706003135,13097.375999999998
104,207719.46384193332,0.0,207719.46384193332,207719.46384193332,0.0,3.4053319145399805,70735.3719492069,114245.70511306333,184981.07706227025,7947.796499999999
267,207719.46384193332,0.0,207719.46384193332,207719.46384193332,0.0,3.532046656509785,73367.48377549057,114245.70511306333,187613.1888885539,7947.796499999999
116,184965.490040465,0.0,184965.490040465,184965.490040465,0.0,3.1093718916941326,57512.64956652529,101731.01952225575,159243.66908878105,10267.8466
301,167997.3598455194,0.0,167997.3598455194,167997.3598455194,0.0,3.077331593799353,51698.35831274956,92398.54791503567,144096.90622778522,8246.667
185,167997.3598455194,0.0,167997.3598455194,167997.3598455194,0.0,3.02214972099204,50771.317418453575,92398.54791503567,143169.86533348926,8246.667
128,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.127385743782301,52095.96739544735,91618.957221577,143714.92461702434,19235.7294
125,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.181916196978566,53004.33526065859,91618.957221577,144623.2924822356,19235.7294
491,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.243483290237306,54029.919421300285,91618.957221577,145648.87664287727,19235.7294
281,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.2889052941740387,54786.558809590795,91618.957221577,146405.5160311678,19235.7294
327,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.3924065108142787,56510.68127136231,91618.957221577,148129.6384929393,19235.7294
322,166579.92222104908,0.0,166579.92222104908,166579.92222104908,0.0,3.0793429693590606,51295.671232776665,91618.957221577,142914.62845435366,19235.7294
449,160946.9719280305,0.0,160946.9719280305,160946.9719280305,0.0,9.707775147534925,156243.7014153936,88520.83456041678,244764.53597581037,4548.1212
479,148033.499163,0.0,148033.499163,148033.499163,0.0,8.720485140324909,129092.39297212414,81418.42453965,210510.81751177416,10025.168
421,137784.0251362875,0.0,137784.0251362875,137784.0251362875,0.0,9.393394830812968,129425.9749483807,75781.21382495813,205207.18877333886,11845.108099999998
371,137784.0251362875,0.0,137784.0251362875,137784.0251362875,0.0,9.514630510586242,131096.4089433103,75781.21382495813,206877.6227682684,11845.108099999998
352,137784.0251362875,0.0,137784.0251362875,137784.0251362875,0.0,9.808034338487133,135139.0449831682,75781.21382495813,210920.25880812632,11845.108099999998
174,115979.26440490001,0.0,115979.26440490001,115979.26440490001,0.0,1.7679645982473702,20504.723359863456,63788.59542269501,84293.31878255846,8115.948800000001
462,115979.26440490001,1327.7029275066598,114651.56147739335,114651.56147739335,0.0,1.742611357597598,19979.31131968049,63058.358812566345,83037.67013224684,8115.948800000001
168,110115.93813084999,0.0,110115.93813084999,110115.93813084999,0.0,3.9259415306683207,43230.873469640734,60563.7659719675,103794.63944160823,7872.92
109,110115.93813084999,0.0,110115.93813084999,110115.93813084999,0.0,4.331782494827604,47699.829319673554,60563.7659719675,108263.59529164106,7872.92
186,110115.93813084999,0.0,110115.93813084999,110115.93813084999,0.0,4.778953244141719,52623.89197621344,60563.7659719675,113187.65794818093,7872.92
60,99500.51282840333,0.0,99500.51282840333,99500.51282840333,0.0,12.841146924230891,127770.07042658479,54725.282055621836,182495.35248220662,9122.2268
73,99500.51282840333,0.0,99500.51282840333,99500.51282840333,0.0,11.732832560107575,116742.28566604921,54725.282055621836,171467.56772167105,9122.2268
