geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname_x,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon,Year,ntaname_y,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank
36061001401,14.01,1401,1001401,1,Manhattan,Lower East Side,MN0302,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1006116.58954,5075.33199951,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-r3ub~566h_ntm6,40.71498294980019,-73.98669881409481,2025.0,Lower East Side,"740,167.495815",20.96%,647.31%,0.47,6.19497157586,90.0
36061001401,14.01,1401,1001401,1,Manhattan,Lower East Side,MN0302,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1006116.58954,5075.33199951,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-r3ub~566h_ntm6,40.71498294980019,-73.98669881409481,2024.0,Lower East Side,"815,973.731548145",23.39%,5.32%,0.13,5.76797794246,72.0
36061001401,14.01,1401,1001401,1,Manhattan,Lower East Side,MN0302,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1006116.58954,5075.33199951,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-r3ub~566h_ntm6,40.71498294980019,-73.98669881409481,2023.0,Lower East Side,"290,239.4793",18.46%,5.55%,0.13,5.29368531064,102.0
36061001402,14.02,1402,1001402,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1226206.24719,4459.1560187,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-7ax4_er4v-39ht,40.717463564590055,-73.98578202598604,2025.0,Lower East Side,"740,167.495815",20.96%,647.31%,0.47,6.19497157586,90.0
36061001402,14.02,1402,1001402,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1226206.24719,4459.1560187,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-7ax4_er4v-39ht,40.717463564590055,-73.98578202598604,2024.0,Lower East Side,"815,973.731548145",23.39%,5.32%,0.13,5.76797794246,72.0
36061001402,14.02,1402,1001402,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1226206.24719,4459.1560187,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-7ax4_er4v-39ht,40.717463564590055,-73.98578202598604,2023.0,Lower East Side,"290,239.4793",18.46%,5.55%,0.13,5.29368531064,102.0
36061001800,18.0,1800,1001800,1,Manhattan,Lower East Side,MN0302,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),2399276.86435,6391.92117449,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-rbey.gfbd-2auc,40.719172004733295,-73.99084351718433,2025.0,Lower East Side,"740,167.495815",20.96%,647.31%,0.47,6.19497157586,90.0
36061001800,18.0,1800,1001800,1,Manhattan,Lower East Side,MN0302,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),2399276.86435,6391.92117449,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-rbey.gfbd-2auc,40.719172004733295,-73.99084351718433,2024.0,Lower East Side,"815,973.731548145",23.39%,5.32%,0.13,5.76797794246,72.0
36061001800,18.0,1800,1001800,1,Manhattan,Lower East Side,MN0302,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),2399276.86435,6391.92117449,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-rbey.gfbd-2auc,40.719172004733295,-73.99084351718433,2023.0,Lower East Side,"290,239.4793",18.46%,5.55%,0.13,5.29368531064,102.0
36061002201,22.01,2201,1002201,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1740173.87581,5779.06260724,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-2v9z-5b5y_tyj9,40.71843294667108,-73.98102178826697,2025.0,Lower East Side,"740,167.495815",20.96%,647.31%,0.47,6.19497157586,90.0
