program,lat,lng,type_fp,type_sk,phone,address,boro,zip,loc_info,status,program_type,fp_hours,sk_hours
CHURCH OF ST. NICHOLAS OF TOLENTINE,40.862216353818,-73.905672642358,FP,,(718) 295-6800,"2345 University Ave, Bronx, New York, 10468",BX,10468, BASEMENT FORDHAM RD ENTRANCE,Open,FP,Tue 09:00 AM-11:00 AM,
BREAD OF LIFE FOOD PANTRY,40.8264247052495,-73.878539164494,FP,,(347) 235-3723,"1104 Elder Ave, Bronx, New York, 10472",BX,10472,#15,Open,FP,Sat 01:30 PM-04:30 PM,
CHANCE FOR CHILDREN,40.6656935814143,-73.9584754472405,FP,,(347) 616-3228,"11 Mc Keever Pl, Brooklyn, New York, 11225",BK,11225,1ST FLOOR (BASEMENT LEVEL),Open,FP,Fri 10:00 AM-12:30 PM,
HEALTH ESSENTIAL ASSOCIATION INC (BK),40.598606630507,-73.955282193588,FP,,(646) 515-6898,"2101 E 16th St, Brooklyn, New York, 11229",BK,11229,2ND FLOOR,Open,FP,Fri 10:00 AM-12:00 PM,
AIDS CENTER OF QUEENS COUNTY (WOODSIDE),40.744659030225,-73.902187195561,FPHA,,(718) 472-9400,"62-07 Woodside Ave, Woodside, New York, 11377",QN,11377,3RD FLOOR,Open,FP,Tue 08:00 AM-10:00 AM,
AIDS CENTER OF QUEENS COUNTY (ACQC),40.60515532763915,-73.75217845372491,FPHA,,(718) 868-8645,"16-00 Central Ave, Far Rockaway, NY, 11691, USA",QN,11691,3RD FLOOR (FAR ROCKAWAY),Open,FP,Fri 09:30 AM-10:30 AM,
AIDS CENTER OF QUEENS COUNTY (JAMAICA),40.704402048469,-73.79790575886,FPHA,,(718) 896-2500,"161-21 Jamaica Ave, Jamaica, New York, 11432",QN,11432,6TH FLOOR,Open,FP,Thu 08:30 AM-09:30 AM,
RIVERSIDE CHURCH FOOD PANTRY (FP),40.811964203982,-73.962512926181,FP,,(212) 870-6733,"91 Claremont Ave, New York, New York, 10027",NY,10027,AT 120TH STREET,Open,FP,Tue 09:00 AM-01:00 PM; Wed 09:00 AM-01:00 PM; Thu 09:00 AM-01:00 PM; Fri 09:00 AM-01:00 PM,
BETH HARK CHRISTIAN COUNSELING CENTER,40.802320111917,-73.943367988776,FP,SK,(212) 860-1523,"1832 Madison Ave, New York, New York, 10035",NY,10035,AT 120TH STREET,Open,"FP,SK",Tue 12:00 PM-02:00 PM; Thu 11:00 AM-01:00 PM,Wed 12:00 PM-02:00 PM; Thu 12:00 PM-02:00 PM
HARLEM DOWLING WEST SIDE CENTER/SPECIALIZED SERVICES,40.810031630476,-73.9472302859403,FP,,(212) 749-3656,"2139 Adam Clayton Powell Jr Blvd, New York, New York, 10027",NY,10027,AT 127TH STREET,Open,FP,Fri 12:00 PM-02:00 PM,
