nta2020,ntaname,pantries_per_nta
BK0101,Greenpoint,1
BK0102,Williamsburg,1
BK0103,South Williamsburg,1
BK0104,East Williamsburg,1
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,3
BK0203,Fort Greene,2
BK0204,Clinton Hill,2
BK0261,Brooklyn Navy Yard,1
BK0301,Bedford-Stuyvesant (West),12
BK0302,Bedford-Stuyvesant (East),5
BK0401,Bushwick (West),1
BK0402,Bushwick (East),5
BK0501,Cypress Hills,2
BK0502,East New York (North),12
BK0503,East New York-New Lots,6
BK0504,Spring Creek-Starrett City,3
BK0505,East New York-City Line,1
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,5
BK0602,Park Slope,3
BK0702,Sunset Park (West),2
BK0703,Sunset Park (Central),2
BK0801,Prospect Heights,1
BK0802,Crown Heights (North),6
BK0901,Crown Heights (South),8
BK0902,Prospect Lefferts Gardens-Wingate,3
BK1001,Bay Ridge,3
BK1101,Bensonhurst,5
BK1103,Gravesend (West),2
BK1202,Borough Park,2
BK1203,Kensington,3
BK1204,Mapleton-Midwood (West),1
BK1301,Gravesend (South),1
BK1302,Coney Island-Sea Gate,3
BK1303,Brighton Beach,3
BK1401,Flatbush,6
BK1402,Flatbush (West)-Ditmas Park-Parkville,5
BK1501,Gravesend (East)-Homecrest,1
BK1502,Madison,1
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,1
BK1601,Ocean Hill,8
BK1602,Brownsville,7
BK1701,East Flatbush-Erasmus,8
BK1702,East Flatbush-Farragut,5
BK1703,East Flatbush-Rugby,9
BK1704,East Flatbush-Remsen Village,6
BK1801,Flatlands,8
BK1802,Marine Park-Mill Basin-Bergen Beach,1
BK1803,Canarsie,4
BX0101,Mott Haven-Port Morris,7
BX0102,Melrose,7
BX0201,Hunts Point,2
BX0202,Longwood,6
BX0301,Morrisania,4
BX0302,Claremont Village-Claremont (East),2
BX0303,Crotona Park East,3
BX0401,Concourse-Concourse Village,3
BX0402,Highbridge,5
BX0403,Mount Eden-Claremont (West),3
BX0501,University Heights (South)-Morris Heights,3
BX0502,Mount Hope,4
BX0503,Fordham Heights,3
BX0601,West Farms,2
BX0602,Tremont,3
BX0603,Belmont,2
BX0701,University Heights (North)-Fordham,2
BX0702,Bedford Park,1
BX0703,Norwood,3
BX0801,Kingsbridge Heights-Van Cortlandt Village,1
BX0803,Riverdale-Spuyten Duyvil,1
BX0901,Soundview-Bruckner-Bronx River,4
BX0902,Soundview-Clason Point,3
BX0903,Castle Hill-Unionport,3
BX0904,Parkchester,4
BX1001,Westchester Square,1
BX1002,Throgs Neck-Schuylerville,1
BX1004,Co-op City,2
BX1101,Pelham Parkway-Van Nest,1
BX1103,Pelham Gardens,2
BX1201,Williamsbridge-Olinville,5
BX1202,Eastchester-Edenwald-Baychester,5
BX1203,Wakefield-Woodlawn,1
MN0202,Greenwich Village,1
MN0203,West Village,3
MN0302,Lower East Side,5
MN0303,East Village,5
MN0401,Chelsea-Hudson Yards,3
MN0402,Hell's Kitchen,4
MN0501,Midtown South-Flatiron-Union Square,3
MN0604,East Midtown-Turtle Bay,3
MN0701,Upper West Side-Lincoln Square,1
MN0702,Upper West Side (Central),4
MN0703,Upper West Side-Manhattan Valley,2
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,1
MN0802,Upper East Side-Carnegie Hill,3
MN0803,Upper East Side-Yorkville,2
MN0901,Morningside Heights,5
MN0902,Manhattanville-West Harlem,3
MN0903,Hamilton Heights-Sugar Hill,4
MN1001,Harlem (South),5
MN1002,Harlem (North),11
MN1101,East Harlem (South),3
MN1102,East Harlem (North),8
MN1201,Washington Heights (South),3
MN1202,Washington Heights (North),2
MN1203,Inwood,4
QN0102,Old Astoria-Hallets Point,1
QN0104,Astoria (East)-Woodside (North),2
QN0105,Queensbridge-Ravenswood-Dutch Kills,4
QN0202,Sunnyside,3
QN0203,Woodside,2
QN0301,Jackson Heights,3
QN0302,East Elmhurst,4
QN0303,North Corona,5
QN0401,Elmhurst,5
QN0502,Ridgewood,4
QN0503,Glendale,1
QN0504,Middle Village,1
QN0602,Forest Hills,3
QN0704,Murray Hill-Broadway Flushing,2
QN0705,East Flushing,1
QN0707,Flushing-Willets Point,1
QN0801,Kew Gardens Hills,3
QN0804,Jamaica Estates-Holliswood,2
QN0901,Kew Gardens,1
QN0902,Richmond Hill,3
QN0903,South Richmond Hill,1
QN0904,Ozone Park (North),1
QN1001,South Ozone Park,4
QN1002,Ozone Park,1
QN1003,Howard Beach-Lindenwood,1
QN1103,Douglaston-Little Neck,1
QN1201,Jamaica,9
QN1202,South Jamaica,7
QN1203,Baisley Park,6
QN1204,Springfield Gardens (North)-Rochdale Village,3
QN1205,St. Albans,10
QN1206,Hollis,6
QN1302,Bellerose,1
QN1303,Queens Village,6
QN1304,Cambria Heights,1
QN1305,Laurelton,5
QN1307,Rosedale,2
QN1401,Far Rockaway-Bayswater,6
QN1402,Rockaway Beach-Arverne-Edgemere,2
SI0101,St. George-New Brighton,2
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,8
SI0104,West New Brighton-Silver Lake-Grymes Hill,1
SI0106,Port Richmond,3
SI0107,Mariner's Harbor-Arlington-Graniteville,1
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,2
SI0202,New Dorp-Midland Beach,1
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,1
SI0302,Great Kills-Eltingville,1
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,2
