nta2020,geoid,Year,ntaname,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank,pantry_count
BK0101,36047056301,2025-01-01,Greenpoint,"1,153,881.91747087",15.74%,741.51%,0.36,6.81171414263,44.0,1
BK0102,36047051300,2025-01-01,Williamsburg,"1,011,421.07761282",16.48%,694.02%,0.38,6.32693035939,75.0,1
BK0103,36047050900,2025-01-01,South Williamsburg,"2,090,950.72621075",27.58%,967.98%,0.6,8.03364938223,5.0,1
BK0104,36047048900,2025-01-01,East Williamsburg,"1,224,484.03196005",21.34%,739.65%,0.42,6.83298362622,43.0,1
BK0201,36047000301,2025-01-01,Brooklyn Heights,"322,651.410235809",10.05%,407.41%,0.44,5.63712513481,139.0,0
BK0202,36047001502,2025-01-01,Downtown Brooklyn-DUMBO-Boerum Hill,"-105,866.86783078",15.69%,563.38%,0.41,5.02644977771,166.0,3
BK0203,36047003101,2025-01-01,Fort Greene,"321,893.943856061",17.64%,774.07%,0.4,6.03664581724,102.0,2
BK0204,36047019700,2025-01-01,Clinton Hill,"35,166.374775185",13.50%,749.54%,0.38,5.77126226664,129.0,2
BK0301,36047022700,2025-01-01,Bedford-Stuyvesant (West),"871,913.37333999",20.74%,771.07%,0.43,5.97941221554,111.0,12
BK0302,36047027300,2025-01-01,Bedford-Stuyvesant (East),"-2,502,670.87833059",19.31%,863.93%,0.42,1.8805616494,195.0,5
BK0401,36047038900,2025-01-01,Bushwick (West),"790,970.28988936",19.60%,791.51%,0.39,6.4093061596,66.0,1
BK0402,36047039900,2025-01-01,Bushwick (East),"-40,369.7071064101",20.19%,788.13%,0.43,5.23432371661,157.0,5
BK0501,36047114202,2025-01-01,Cypress Hills,"-1,502,252.40556435",17.01%,675.33%,0.55,3.57070339261,184.0,2
BK0502,36047113400,2025-01-01,East New York (North),"-2,063,224.47525637",20.75%,861.27%,0.53,2.90555823372,188.0,12
BK0503,36047107800,2025-01-01,East New York-New Lots,"-506,273.12917545",20.46%,1166.11%,0.51,5.11041174894,162.0,6
BK0504,36047105801,2025-01-01,Spring Creek-Starrett City,"170,505.968828928",24.42%,881.62%,0.55,6.07700627909,97.0,3
BK0505,36047119000,2025-01-01,East New York-City Line,"-2,231,394.17576234",18.01%,633.56%,0.52,2.45259679455,191.0,1
